model,horizon_step,forecast_count,mae,rmse,mape,r2,price_mae,price_rmse,price_mape,price_r2,run_id,market,feature_set,seed,artifact_dir,persistence_price_rmse,price_rmse_ratio_to_persistence
lstm_gru,20,49,0.0858960446325466,0.1039818611687055,191.0808025045324,-0.4453843869068188,703.049017768804,838.4078446982143,8.261518933253106,0.9185988096104908,bist100__lstm_gru__indicators__seed2026,bist100,indicators,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__lstm_gru__indicators__seed2026/artifacts/20260716_234234_666474,753.477052018749,1.112718486186029
mlp,20,49,0.1856645240732209,0.2188115650210895,940.976947105498,-5.400423788864117,1579.4827335587495,1929.677132525999,17.74883213831224,0.5687894377004675,bist100__mlp__indicators__seed2026,bist100,indicators,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__mlp__indicators__seed2026/artifacts/20260716_231615_054356,753.477052018749,2.56102973190215
naive_persistence,20,49,0.0746143729549509,0.0933163829095019,100.0,-0.1640830858481394,590.4101263552296,753.477052018749,7.219622622360065,0.9342553906157848,bist100__naive_persistence__indicators__seed2026,bist100,indicators,2026,outputs/batches/markets_matched_origins_direct_h20/runs/bist100__naive_persistence__indicators__seed2026/artifacts/20260716_223919_425043,753.477052018749,1.0
cnn1d,20,49,0.037563600190412,0.0475345793019267,103.1959884093122,-0.0710618312757531,194.43305136559675,246.00684603297535,3.742828762266016,0.9494926374782232,sp500__cnn1d__close__seed1,sp500,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/sp500__cnn1d__close__seed1/artifacts/20260716_205109_473273,248.5512063878996,0.989763234739833
dnfs,20,49,0.0409418210827311,0.0503576201469543,121.09099836159344,-0.2020585694562116,210.6049079842785,259.8163927703689,4.0641527095684165,0.943663040834468,sp500__dnfs__close__seed1,sp500,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/sp500__dnfs__close__seed1/artifacts/20260716_220519_935710,248.5512063878996,1.0453234025542744
linear_regression,20,49,0.0360840561129442,0.0464712512060364,107.82828701711368,-0.0236794030359297,188.20095213802023,242.94891355530396,3.6344231132406977,0.9507404741996196,sp500__linear_regression__close__seed1,sp500,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/sp500__linear_regression__close__seed1/artifacts/20260716_205004_320512,248.5512063878996,0.9774602066350365
lstm_gru,20,49,0.0368572566391558,0.0472469939871245,98.5564349480694,-0.0581411369378508,190.12518462849903,244.24850799581847,3.6792326515314966,0.9502120616417468,sp500__lstm_gru__close__seed1,sp500,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/sp500__lstm_gru__close__seed1/artifacts/20260716_213332_611362,248.5512063878996,0.9826888855032706
mlp,20,49,0.036935321188758,0.0474542414422498,103.13331101349463,-0.0674445024675862,191.85753458650495,247.66200239935876,3.6970636977463984,0.9488107149216948,sp500__mlp__close__seed1,sp500,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/sp500__mlp__close__seed1/artifacts/20260716_211051_486392,248.5512063878996,0.9964224515283457
naive_persistence,20,49,0.0385495026035196,0.0477422900503976,100.0,-0.0804426702864444,199.9259406887755,248.5512063878996,3.8289267741831914,0.9484424757144526,sp500__naive_persistence__close__seed1,sp500,close,1,outputs/batches/markets_matched_origins_direct_h20/runs/sp500__naive_persistence__close__seed1/artifacts/20260716_204927_067994,248.5512063878996,1.0
cnn1d,20,49,0.0389798598892203,0.0496747609348908,102.57516539312492,-0.1696793024700624,202.45365170003765,259.4640671685286,3.878213543068629,0.9438157293903018,sp500__cnn1d__close__seed7,sp500,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/sp500__cnn1d__close__seed7/artifacts/20260716_205324_452496,248.5512063878996,1.0439058853876488
dnfs,20,49,0.0396253164789861,0.0499628407206942,109.2516382370808,-0.1832853280900921,204.24247202595632,258.5755085180621,3.9407054577496834,0.944199886913303,sp500__dnfs__close__seed7,sp500,close,7,outputs/batches/markets_matched_origins_direct_h20/runs/sp500__dnfs__close__seed7/artifacts/20260716_220842_338853,248.5512063878996,1.0403309333148767
