model,fold,best_val_loss,epochs_ran,training_time_seconds,inference_time_seconds,checkpoint_path
cnn_lstm,15,1.1048201670249302,26,12.698313250002684,0.0169830399681814,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0015.pt
naive_persistence,16,,0,0.0,0.0,
linear_regression,16,,0,0.0268578340183012,0.0009694980108179,
mlp,16,1.117784783244133,11,1.2493128750065807,0.0106899600941687,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0016.pt
rnn,16,1.1133790562550228,16,7.985669207992032,0.0508827520534396,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0016.pt
lstm,16,1.115903452038765,16,5.315220707998378,0.0142919180216267,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0016.pt
gru,16,1.1159557178616524,16,13.27548954100348,0.0580891660938505,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/gru/fold_0016.pt
cnn1d,16,1.1118775258461635,39,5.534990041021956,0.0099248769984114,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn1d/fold_0016.pt
dnfs,16,1.1188521534204483,17,2.794466708000982,0.0145067499543074,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/dnfs/fold_0016.pt
lstm_gru,16,1.1152466187874477,16,14.98108420902281,0.0731382899684831,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm_gru/fold_0016.pt
cnn_lstm,16,1.1123723834753036,24,11.29920341700199,0.0190694129269104,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/cnn_lstm/fold_0016.pt
naive_persistence,17,,0,0.0,0.0,
linear_regression,17,,0,0.0098405409953556,0.0009797890670597,
mlp,17,1.128673329949379,15,1.6260442080092616,0.0093314149999059,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/mlp/fold_0017.pt
rnn,17,1.1238630016644795,14,7.382061792013701,0.0505557951109949,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/rnn/fold_0017.pt
lstm,17,1.1253277609745662,16,6.0277568330056965,0.0143523769802413,outputs/wig20_walk_forward_recursive/20260713_131340/checkpoints/lstm/fold_0017.pt
