fold,forecast_origin,forecast_end,train_samples,validation_samples,train_target_start,train_target_end,validation_target_start,validation_target_end,target_date,horizon_step
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-10-31T00:00:00,7
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-01T00:00:00,8
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-04T00:00:00,9
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-05T00:00:00,10
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-06T00:00:00,11
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-07T00:00:00,12
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-08T00:00:00,13
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-11T00:00:00,14
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-12T00:00:00,15
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-13T00:00:00,16
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-14T00:00:00,17
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-15T00:00:00,18
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-18T00:00:00,19
28,2024-10-21T00:00:00,2024-11-19T00:00:00,4597,985,2002-07-08T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-21T00:00:00,2024-11-19T00:00:00,20
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-11-20T00:00:00,1
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-11-21T00:00:00,2
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-11-22T00:00:00,3
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-11-25T00:00:00,4
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-11-26T00:00:00,5
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-11-27T00:00:00,6
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-11-28T00:00:00,7
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-11-29T00:00:00,8
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-12-02T00:00:00,9
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-12-03T00:00:00,10
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-12-04T00:00:00,11
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-12-05T00:00:00,12
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-12-06T00:00:00,13
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-12-09T00:00:00,14
29,2024-11-19T00:00:00,2024-12-17T00:00:00,4597,985,2002-08-05T00:00:00,2020-12-07T00:00:00,2020-12-08T00:00:00,2024-11-19T00:00:00,2024-12-10T00:00:00,15
